,id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,geometry,latitude,longitude
10,nn00680106,1.8,"59km ENE of Lone Pine, California",1552795796980,1552795994706,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nn00680106,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00680106.geojson,,,,,automatic,0,50,nn,00680106,",nn00680106,",",nn,",",geoserve,origin,phase-data,",37.0,0.176,0.23,72.82,ml,earthquake,"M 1.8 - 59km ENE of Lone Pine, California",POINT Z (-117.4703 36.8585 11.8),36.8585,-117.4703
11,nc73153151,1.19,"4km NNW of The Geysers, CA",1552794558760,1552795683272,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153151,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153151.geojson,,,,,automatic,0,22,nc,73153151,",nc73153151,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",18.0,0.009483,0.03,51.0,md,earthquake,"M 1.2 - 4km NNW of The Geysers, CA",POINT Z (-122.7743301 38.8051682 1.16),38.8051682,-122.7743301
12,nc73153141,0.52,"3km ESE of Mammoth Lakes, CA",1552794069520,1552794962203,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153141,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153141.geojson,,,,,automatic,0,4,nc,73153141,",nc73153141,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",8.0,0.01059,0.02,113.0,md,earthquake,"M 0.5 - 3km ESE of Mammoth Lakes, CA",POINT Z (-118.9521637 37.6258316 4.26),37.6258316,-118.9521637
13,nc73153136,2.1,"7km WNW of The Geysers, CA",1552793593190,1552794784183,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153136,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153136.geojson,,,,,automatic,0,68,nc,73153136,",nc73153136,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",29.0,0.004571,0.05,50.0,md,earthquake,"M 2.1 - 7km WNW of The Geysers, CA",POINT Z (-122.8233337 38.8086662 1.89),38.8086662,-122.8233337
14,ak0193hqszcp,0.4,"12km WNW of Redoubt Volcano, Alaska",1552793381984,1552794088864,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193hqszcp,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193hqszcp.geojson,,,,,automatic,0,2,ak,0193hqszcp,",ak0193hqszcp,",",ak,",",geoserve,origin,",,,0.17,,ml,earthquake,"M 0.4 - 12km WNW of Redoubt Volcano, Alaska",POINT Z (-152.9387 60.5375 8.4),60.5375,-152.9387
15,ak0193hqs5sd,1.9,"23km NE of Sterling, Alaska",1552793158847,1552793837748,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193hqs5sd,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193hqs5sd.geojson,,,,,automatic,0,56,ak,0193hqs5sd,",ak0193hqs5sd,",",ak,",",geoserve,origin,",,,0.32,,ml,earthquake,"M 1.9 - 23km NE of Sterling, Alaska",POINT Z (-150.4024 60.6569 44.5),60.6569,-150.4024
16,nc73153131,0.73,"10km WNW of The Geysers, CA",1552792724650,1552794003119,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153131,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153131.geojson,,,,,automatic,0,8,nc,73153131,",nc73153131,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",11.0,0.003036,0.03,131.0,md,earthquake,"M 0.7 - 10km WNW of The Geysers, CA",POINT Z (-122.8539963 38.8255005 1.73),38.8255005,-122.8539963
17,us1000jhah,4.2,"280km ENE of Dili, East Timor",1552792315680,1552795369040,540,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jhah,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us1000jhah.geojson,,,,,reviewed,0,271,us,1000jhah,",us1000jhah,",",us,",",geoserve,origin,phase-data,",,4.222,0.51,84.0,mb,earthquake,"M 4.2 - 280km ENE of Dili, East Timor",POINT Z (127.877 -7.4848 158.46),-7.4848,127.877
18,nn00680103,1.2,"56km ENE of Lone Pine, California",1552791581860,1552791773564,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nn00680103,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00680103.geojson,,,,,automatic,0,22,nn,00680103,",nn00680103,",",nn,",",geoserve,origin,phase-data,",28.0,0.194,0.18,191.59,ml,earthquake,"M 1.2 - 56km ENE of Lone Pine, California",POINT Z (-117.5025 36.8425 6.8),36.8425,-117.5025
19,hv70868877,1.79,"11km S of Volcano, Hawaii",1552791275520,1552791648570,-600,https://earthquake.usgs.gov/earthquakes/eventpage/hv70868877,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv70868877.geojson,,,,,automatic,0,49,hv,70868877,",hv70868877,",",hv,",",geoserve,origin,phase-data,",37.0,0.04431,0.2,73.0,ml,earthquake,"M 1.8 - 11km S of Volcano, Hawaii",POINT Z (-155.24617 19.3293343 4.71),19.3293343,-155.24617
20,ak0193hq8mvi,1.8,"59km NNW of Valdez, Alaska",1552790089101,1552790296359,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193hq8mvi,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193hq8mvi.geojson,,,,,automatic,0,50,ak,0193hq8mvi,",ak0193hq8mvi,",",ak,",",geoserve,origin,",,,0.77,,ml,earthquake,"M 1.8 - 59km NNW of Valdez, Alaska",POINT Z (-146.6062 61.648 30.5),61.648,-146.6062
21,nn00680102,0.9,"9km SSW of Cold Springs, Nevada",1552789018660,1552791631628,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nn00680102,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00680102.geojson,,,,,automatic,0,12,nn,00680102,",nn00680102,",",nn,",",geoserve,origin,phase-data,",6.0,0.052,0.14,145.56,ml,earthquake,"M 0.9 - 9km SSW of Cold Springs, Nevada",POINT Z (-120.0258 39.608 10.4),39.608,-120.0258
22,nc73153101,2.21,"7km E of Pinnacles, CA",1552788347680,1552797602470,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153101,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153101.geojson,,,,,automatic,0,75,nc,73153101,",nc73153101,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",14.0,,0.09,119.0,md,earthquake,"M 2.2 - 7km E of Pinnacles, CA",POINT Z (-121.0621643 36.5444984 8.94),36.5444984,-121.0621643
23,pr2019076003,1.3,"10km N of Penuelas, Puerto Rico",1552788065350,1552800341285,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019076003,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr2019076003.geojson,,,,,reviewed,0,26,pr,2019076003,",pr2019076003,",",pr,",",geoserve,origin,phase-data,",3.0,0.1483,0.38,225.0,md,earthquake,"M 1.3 - 10km N of Penuelas, Puerto Rico",POINT Z (-66.70529999999999 18.1528 11),18.1528,-66.7053
24,nc73153096,1.52,"2km SW of Anderson Springs, CA",1552787641190,1552796702384,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153096,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153096.geojson,,,,,automatic,0,36,nc,73153096,",nc73153096,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",13.0,0.01296,0.07,138.0,md,earthquake,"M 1.5 - 2km SW of Anderson Springs, CA",POINT Z (-122.713501 38.7615013 1.09),38.7615013,-122.713501
25,ak0193hpqlnh,2.3,"50km S of Redoubt Volcano, Alaska",1552787434971,1552787638193,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193hpqlnh,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193hpqlnh.geojson,,,,,automatic,0,81,ak,0193hpqlnh,",ak0193hpqlnh,",",ak,",",geoserve,origin,",,,0.55,,ml,earthquake,"M 2.3 - 50km S of Redoubt Volcano, Alaska",POINT Z (-152.7699 60.0328 117),60.0328,-152.7699
26,pr2019076002,1.94,"8km E of Adjuntas, Puerto Rico",1552786719100,1552800328813,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019076002,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr2019076002.geojson,,,,,reviewed,0,58,pr,2019076002,",pr2019076002,",",pr,",",geoserve,origin,phase-data,",4.0,0.167,0.05,128.0,md,earthquake,"M 1.9 - 8km E of Adjuntas, Puerto Rico",POINT Z (-66.7243 18.1575 20),18.1575,-66.7243
27,ci38272095,1.87,"10km WSW of Niland, CA",1552785466020,1552785685204,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci38272095,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci38272095.geojson,,,,,automatic,0,54,ci,38272095,",ci38272095,",",ci,",",geoserve,nearby-cities,origin,phase-data,",14.0,0.02002,0.22,108.0,ml,earthquake,"M 1.9 - 10km WSW of Niland, CA",POINT Z (-115.6093369 33.1998329 1.87),33.1998329,-115.6093369
28,nc73153066,0.84,"6km WNW of The Geysers, CA",1552785055670,1552791962941,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153066,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153066.geojson,,,,,automatic,0,11,nc,73153066,",nc73153066,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",19.0,0.009459,0.05,53.0,md,earthquake,"M 0.8 - 6km WNW of The Geysers, CA",POINT Z (-122.8171692 38.8076668 2.43),38.8076668,-122.8171692
29,ak0193hpgr8k,1.8,"5km SSE of Big Lake, Alaska",1552784681962,1552784919742,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193hpgr8k,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193hpgr8k.geojson,,,,,automatic,0,50,ak,0193hpgr8k,",ak0193hpgr8k,",",ak,",",geoserve,origin,",,,0.65,,ml,earthquake,"M 1.8 - 5km SSE of Big Lake, Alaska",POINT Z (-149.8971 61.4756 33.6),61.4756,-149.8971
30,ak0193hpgjjl,2.1,"63km ENE of Whittier, Alaska",1552784622256,1552784919366,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193hpgjjl,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193hpgjjl.geojson,,,,,automatic,0,68,ak,0193hpgjjl,",ak0193hpgjjl,",",ak,",",geoserve,origin,",,,0.65,,ml,earthquake,"M 2.1 - 63km ENE of Whittier, Alaska",POINT Z (-147.5622 60.9413 15.4),60.9413,-147.5622
31,hv70868667,1.71,"11km S of Volcano, Hawaii",1552784325510,1552784665640,-600,https://earthquake.usgs.gov/earthquakes/eventpage/hv70868667,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv70868667.geojson,,,,,automatic,0,45,hv,70868667,",hv70868667,",",hv,",",geoserve,origin,phase-data,",45.0,0.04517,0.12,75.0,ml,earthquake,"M 1.7 - 11km S of Volcano, Hawaii",POINT Z (-155.2166595 19.3260002 4.86),19.3260002,-155.2166595
32,us1000jh9u,4.4,"142km NE of Mombetsu, Japan",1552784275890,1552785533040,600,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jh9u,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us1000jh9u.geojson,,,,,reviewed,0,298,us,1000jh9u,",us1000jh9u,",",us,",",geoserve,origin,phase-data,",,1.823,1.1,99.0,mb,earthquake,"M 4.4 - 142km NE of Mombetsu, Japan",POINT Z (144.4692 45.3584 273.73),45.3584,144.4692
33,ci38272079,0.83,"8km NNW of Borrego Springs, CA",1552784118570,1552784339576,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci38272079,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci38272079.geojson,,,,,automatic,0,11,ci,38272079,",ci38272079,",",ci,",",geoserve,nearby-cities,origin,phase-data,",26.0,0.1422,0.2,111.0,ml,earthquake,"M 0.8 - 8km NNW of Borrego Springs, CA",POINT Z (-116.395 33.3235 5.25),33.3235,-116.395
34,us1000jh9m,4.9,"159km W of Colchani, Bolivia",1552784018000,1552785051040,-240,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jh9m,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us1000jh9m.geojson,,,,,reviewed,0,369,us,1000jh9m,",us1000jh9m,",",us,",",geoserve,origin,phase-data,",,0.688,1.19,28.0,mb,earthquake,"M 4.9 - 159km W of Colchani, Bolivia",POINT Z (-68.4614 -20.3713 123.66),-20.3713,-68.4614
35,pr2019076000,1.76,"1km WSW of Jauca, Puerto Rico",1552783410830,1552800309701,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019076000,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr2019076000.geojson,,,,,reviewed,0,48,pr,2019076000,",pr2019076000,",",pr,",",geoserve,origin,phase-data,",10.0,0.2304,0.22,185.0,md,earthquake,"M 1.8 - 1km WSW of Jauca, Puerto Rico",POINT Z (-66.3766 17.9651 13),17.9651,-66.3766
36,us1000jh9k,5.2,"120km ESE of Pangai, Tonga",1552783408210,1552784652040,-720,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jh9k,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us1000jh9k.geojson,,,,,reviewed,0,416,us,1000jh9k,",us1000jh9k,",",us,",",geoserve,origin,phase-data,",,3.307,1.71,75.0,mww,earthquake,"M 5.2 - 120km ESE of Pangai, Tonga",POINT Z (-173.2526 -20.1375 10),-20.1375,-173.2526
37,nc73153056,1.65,"27km W of Round Valley, CA",1552783328500,1552790402783,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153056,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153056.geojson,,,,,automatic,0,42,nc,73153056,",nc73153056,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",9.0,0.2245,0.02,223.0,md,earthquake,"M 1.7 - 27km W of Round Valley, CA",POINT Z (-118.8980026 37.3958321 -0.78),37.3958321,-118.8980026
38,ak0193hp1vqt,1.9,"57km WSW of Talkeetna, Alaska",1552782901979,1552783113307,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193hp1vqt,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193hp1vqt.geojson,,,,,automatic,0,56,ak,0193hp1vqt,",ak0193hp1vqt,",",ak,",",geoserve,origin,",,,0.59,,ml,earthquake,"M 1.9 - 57km WSW of Talkeetna, Alaska",POINT Z (-151.1899 62.2112 75.7),62.2112,-151.1899
39,us1000jh98,4.2,"194km SE of Atka, Alaska",1552781935570,1552783186040,-720,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jh98,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us1000jh98.geojson,,,,,reviewed,0,271,us,1000jh98,",us1000jh98,",",us,",",geoserve,origin,phase-data,",,1.752,0.55,191.0,mb,earthquake,"M 4.2 - 194km SE of Atka, Alaska",POINT Z (-172.5462 50.7869 10),50.7869,-172.5462
40,us1000jh97,4.4,"29km SSW of Sinabang, Indonesia",1552781146560,1552782381040,420,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jh97,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us1000jh97.geojson,,,,,reviewed,0,298,us,1000jh97,",us1000jh97,",",us,",",geoserve,origin,phase-data,",,1.563,1.2,184.0,mb,earthquake,"M 4.4 - 29km SSW of Sinabang, Indonesia",POINT Z (96.3058 2.2223 10),2.2223,96.3058
41,ak0193gf81od,1.8,"60km SSW of Redoubt Volcano, Alaska",1552779474583,1552779672647,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193gf81od,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193gf81od.geojson,,,,,automatic,0,50,ak,0193gf81od,",ak0193gf81od,",",ak,",",geoserve,origin,",,,0.68,,ml,earthquake,"M 1.8 - 60km SSW of Redoubt Volcano, Alaska",POINT Z (-152.9792 59.9562 110.8),59.9562,-152.9792
42,nc73153031,2.81,"26km SW of Toms Place, CA",1552779129440,1552788904649,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153031,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153031.geojson,,,,,automatic,0,121,nc,73153031,",nc73153031,",",nc,",",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",32.0,,0.05,97.0,ml,earthquake,"M 2.8 - 26km SW of Toms Place, CA",POINT Z (-118.8918304 37.4020004 -0.88),37.4020004,-118.8918304
43,pr2019075013,1.41,"5km WNW of Guayama, Puerto Rico",1552778715590,1552800289557,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019075013,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr2019075013.geojson,,,,,reviewed,0,31,pr,2019075013,",pr2019075013,",",pr,",",geoserve,origin,phase-data,",4.0,0.0637,0.05,156.0,md,earthquake,"M 1.4 - 5km WNW of Guayama, Puerto Rico",POINT Z (-66.15949999999999 18.0013 13),18.0013,-66.1595
44,ak0193gf4ctv,1.7,"24km NNE of Badger, Alaska",1552778433156,1552778759551,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193gf4ctv,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193gf4ctv.geojson,,,,,automatic,0,44,ak,0193gf4ctv,",ak0193gf4ctv,",",ak,",",geoserve,origin,",,,0.82,,ml,earthquake,"M 1.7 - 24km NNE of Badger, Alaska",POINT Z (-147.268 64.9923 2.2),64.9923,-147.268
45,ak0193gf2p2y,2.2,"44km WSW of Valdez, Alaska",1552777978817,1552778256834,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193gf2p2y,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193gf2p2y.geojson,,,,,automatic,0,74,ak,0193gf2p2y,",ak0193gf2p2y,",",ak,",",geoserve,origin,",,,0.78,,ml,earthquake,"M 2.2 - 44km WSW of Valdez, Alaska",POINT Z (-147.1315 61.0077 12.9),61.0077,-147.1315
46,nc73153001,0.97,"15km NW of Parkfield, CA",1552777881240,1552786383416,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153001,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153001.geojson,,,,,automatic,0,14,nc,73153001,",nc73153001,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",13.0,0.02059,0.04,93.0,md,earthquake,"M 1.0 - 15km NW of Parkfield, CA",POINT Z (-120.5508347 35.9923325 3.47),35.9923325,-120.5508347
47,nc73152996,1.75,"17km E of Willows, CA",1552777842100,1552784823273,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73152996,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73152996.geojson,,,,,automatic,0,47,nc,73152996,",nc73152996,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",5.0,0.3392,0.01,117.0,md,earthquake,"M 1.8 - 17km E of Willows, CA",POINT Z (-121.9981689 39.5358315 27.89),39.5358315,-121.9981689
48,nc73152986,1.27,"8km SSW of The Geysers, CA",1552776998370,1552783203116,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73152986,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73152986.geojson,,,,,automatic,0,25,nc,73152986,",nc73152986,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",11.0,0.03254,0.08,232.0,md,earthquake,"M 1.3 - 8km SSW of The Geysers, CA",POINT Z (-122.7988358 38.7128334 1.88),38.7128334,-122.7988358
49,nc73152981,0.65,"2km NE of The Geysers, CA",1552776863660,1552781643963,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73152981,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73152981.geojson,,,,,automatic,0,6,nc,73152981,",nc73152981,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",10.0,0.01097,0.02,96.0,md,earthquake,"M 0.7 - 2km NE of The Geysers, CA",POINT Z (-122.7381668 38.7941666 1.66),38.7941666,-122.7381668
50,nc73152976,0.56,"7km NW of The Geysers, CA",1552776847840,1552780082815,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73152976,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73152976.geojson,,,,,automatic,0,5,nc,73152976,",nc73152976,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",8.0,0.004434,0.04,88.0,md,earthquake,"M 0.6 - 7km NW of The Geysers, CA",POINT Z (-122.8143311 38.8263321 3.05),38.8263321,-122.8143311
51,ak0193gen644,3.1,"202km S of Cape Yakataga, Alaska",1552776014642,1552776300297,-600,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193gen644,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193gen644.geojson,,,,,automatic,0,148,ak,0193gen644,",ak0193gen644,",",ak,",",geoserve,origin,",,,0.65,,ml,earthquake,"M 3.1 - 202km S of Cape Yakataga, Alaska",POINT Z (-142.5996 58.2516 34.7),58.2516,-142.5996
52,nn00680091,0.9,"16km SSW of Beatty, Nevada",1552775516190,1552775618535,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nn00680091,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00680091.geojson,,,,,automatic,0,12,nn,00680091,",nn00680091,",",nn,",",geoserve,origin,phase-data,",18.0,0.129,0.19,85.88,ml,earthquake,"M 0.9 - 16km SSW of Beatty, Nevada",POINT Z (-116.8242 36.7702 7),36.7702,-116.8242
53,nc73152971,2.09,"17km SW of New Idria, CA",1552775472210,1552778464631,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73152971,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73152971.geojson,,,,,automatic,0,67,nc,73152971,",nc73152971,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",19.0,,0.12,97.0,md,earthquake,"M 2.1 - 17km SW of New Idria, CA",POINT Z (-120.7893295 36.2978325 8.029999999999999),36.2978325,-120.7893295
